cms_certification_number_ccn,provider_name,provider_address,citytown,state,zip_code,telephone_number,provider_ssa_county_code,countyparish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_4a14,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_casemix_index,nursing_casemix_index_ratio,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,casemix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_23_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_23_number_of_complaint_health_deficiencies,rating_cycle_23_health_deficiency_score,rating_cycle_23_number_of_health_revisits,rating_cycle_23_health_revisit_score,rating_cycle_23_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
345172,Meridian Center,707 North Elm Street,High Point,NC,27262,3368850141,400,Guilford,Y,For profit - Limited Liability company,199,166.0,,Medicare and Medicaid,N,"SUNBRIDGE REGENCY - NORTH CAROLINA, LLC",1977-11-14,GENESIS HEALTHCARE,237,191,2.4,2.3,2.6,3.6,N,,N,N,N,Resident,Yes,1,,1,,3,,4,,2,,1,,,,1.69672,0.88913,0.34694,1.23607,2.93279,2.74589,0.36311,0.03111,58.3,,57.1,,1,,1.36749,0.98262,2.29141,0.84536,0.66751,3.80427,3.37490,1.71469,0.89854,0.35062,2.96384,2.77497,2025-08-20,9,9,2,102,1,0,102,2024-05-17,9,8,8,68,1,0,68,93.500,,5,88566.00,0,5,"707 North Elm Street,High Point,NC,27262",35.9641,-80.013,,2026-04-01
345173,Emerald Health & Rehab Center,54 Red Mulberry Way,Lillington,NC,27546,9108148030,420,Harnett,N,For profit - Limited Liability company,96,91.1,,Medicare and Medicaid,N,"HARNETT HEALTHCARE GROUP, LLC",1978-01-01,SABER HEALTHCARE GROUP,461,126,3.0,2.7,2.3,4.0,N,,N,N,N,Resident,Yes,1,,2,,4,,5,,3,,1,,,,1.93246,1.00262,0.33613,1.33875,3.27120,2.77602,0.18623,0.05325,49.0,,64.3,,0,,1.40224,1.00758,2.34962,0.86683,0.68447,3.90092,3.46064,1.90453,0.98813,0.33127,3.22393,2.73590,2025-07-24,7,5,2,52,1,0,52,2024-05-28,11,11,4,60,1,0,60,54.000,,0,0.00,0,0,"54 Red Mulberry Way,Lillington,NC,27546",35.3972,-78.813,22,2026-04-01
345174,Elevate Health and Rehabilitation,91 Victoria Road,Asheville,NC,28801,8282550076,100,Buncombe,Y,For profit - Limited Liability company,120,97.6,,Medicare and Medicaid,N,ASHEVILLE VICTORIA NC OPCO LLC,1979-02-01,ASCENT HEALTHCARE MANAGEMENT,799,6,2.3,2.7,2.0,2.0,N,,N,N,N,Resident,Yes,1,,1,,3,,5,,1,,1,,,,2.05951,0.62787,0.33035,0.95822,3.01773,2.68739,0.22401,0.02871,75.9,,76.9,,2,,1.28564,0.92380,2.15425,0.79476,0.62755,3.57656,3.17289,2.21383,0.67491,0.35510,3.24385,2.88876,2025-09-02,4,3,2,36,1,0,36,2024-08-07,26,11,26,531,1,0,531,159.750,,3,174346.00,0,3,"91 Victoria Road,Asheville,NC,28801",35.5766,-82.552,,2026-04-01
345175,Smithfield Manor Rehabilitation and Healthcare Cen,902 Berkshire Road,Smithfield,NC,27577,9199343171,500,Johnston,Y,For profit - Corporation,160,136.6,,Medicare and Medicaid,N,SMITHFIELD SNF OPERATIONS LLC,1977-12-01,VENZA CARE MANAGEMENT,614,22,2.4,2.5,3.3,2.4,N,,N,N,N,Resident,Yes,1,,2,,1,,1,,3,,2,,,,2.18591,0.77346,0.49958,1.27304,3.45895,3.03478,0.29146,0.08852,57.4,,55.0,,1,,1.35248,0.97183,2.26626,0.83608,0.66018,3.76251,3.33785,2.23357,0.79032,0.51047,3.53436,3.10095,2025-01-24,8,6,2,72,1,0,72,2023-09-28,3,1,2,154,1,0,154,92.500,,3,263607.00,0,3,"902 Berkshire Road,Smithfield,NC,27577",35.5176,-78.328,,2026-04-01
345177,The Greens at Pinehurst Rehabilitation & Living Ce,205 Rattlesnake Trail,Pinehurst,NC,28374,9102951781,620,Moore,Y,For profit - Corporation,120,87.1,,Medicare and Medicaid,N,"PINEHURST OPCO, LLC",1977-10-01,CCH HEALTHCARE,124,32,2.5,2.4,2.4,3.8,N,,N,N,N,Resident,Yes,3,,3,,4,,5,,3,,2,,,,2.12298,0.88812,0.53330,1.42142,3.54440,3.18309,0.34815,0.05762,56.8,,60.0,,1,,1.44931,1.04140,2.42849,0.89593,0.70744,4.03187,3.57681,2.02435,0.84686,0.50852,3.37973,3.03520,2024-12-05,4,4,0,20,1,0,20,2023-09-28,11,10,4,76,1,0,76,34.000,,1,41844.00,0,1,"205 Rattlesnake Trail,Pinehurst,NC,28374",35.2058,-79.465,,2026-04-01
345179,Accordius Health at Mooresville,752 E Center Avenue,Mooresville,NC,28115,7048000570,480,Iredell,Y,For profit - Limited Liability company,131,82.3,,Medicare and Medicaid,N,ACCORDIUS HEALTH AT MOORESVILLE LLC,1978-05-01,SIMCHA HYMAN & NAFTALI ZANZIPER,580,94,2.4,2.5,2.4,3.4,N,SFF Candidate,N,N,N,Resident,Yes,1,,1,,2,,2,,,2,1,,,,1.52459,1.22710,0.43550,1.66260,3.18719,2.68051,0.15963,0.06106,84.2,,90.0,,2,,1.27826,0.91850,2.14189,0.79019,0.62395,3.55603,3.15467,1.64829,1.32667,0.47083,3.44579,2.89800,2025-09-11,8,5,3,60,1,0,60,2024-06-13,26,22,14,544,2,272,816,249.000,,4,144008.00,2,6,"752 E Center Avenue,Mooresville,NC,28115",35.5784,-80.799,,2026-04-01
345180,Wesley Pines Retirement Community,1000 Wesley Pines Road,Lumberton,NC,28358,9107389691,770,Robeson,N,For profit - Corporation,62,58.4,,Medicare and Medicaid,N,"THE UNITED METHODIST RETIREMENT HOMES, INCORPORATED",1980-12-01,LIFE CARE SERVICES,312,22,4.2,3.8,4.5,4.3,Y,,N,N,N,Resident,Yes,3,,3,,4,,4,,4,,4,,,,2.70125,0.85101,0.45508,1.30610,4.00735,3.68321,0.20727,0.01730,24.2,,44.4,,0,,1.28053,0.92013,2.14569,0.79160,0.62506,3.56235,3.16028,2.91524,0.91843,0.49114,4.32481,3.97499,2026-01-30,7,7,1,36,1,0,36,2024-11-14,2,1,2,8,0,0,8,29.000,,0,0.00,0,0,"1000 Wesley Pines Road,Lumberton,NC,28358",34.6569,-78.995,,2026-04-01
345181,Greenville Health and Rehabilitation Center,2578 West Fifth Street,Greenville,NC,27834,2527587100,730,Pitt,Y,For profit - Corporation,120,113.7,,Medicare and Medicaid,N,Legal Business Name Not Available,1978-07-26,,,,,,,,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,2,,1,,,,2.01203,0.83117,0.48157,1.31274,3.32477,2.95591,0.40124,0.11426,66.4,,72.2,,1,,1.52373,1.09488,2.55319,0.94194,0.74377,4.23890,3.76047,1.82485,0.75385,0.43677,3.01546,2.68092,2025-06-11,10,10,1,111,1,0,111,2024-05-31,15,10,8,88,1,0,88,105.250,,2,64002.00,0,2,"2578 West Fifth Street,Greenville,NC,27834",35.6182,-77.413,,2026-04-01
345182,Pruitthealth-Crystal Coast,2416 US Highway 70 East,Beaufort,NC,28516,2522250112,150,Carteret,N,For profit - Limited Liability company,104,90.5,,Medicare and Medicaid,N,"PRUITTHEALTH - CRYSTAL COAST, LLC",1978-04-01,PRUITTHEALTH,434,96,2.9,2.8,2.4,3.7,N,,N,N,N,Resident,Yes,4,,4,,2,,3,,2,,3,,,,1.59104,0.65650,0.87579,1.53229,3.12333,2.58288,0.58205,0.10733,44.1,,36.8,,0,,1.34747,0.96823,2.25786,0.83298,0.65773,3.74857,3.32549,1.63178,0.67331,0.89821,3.20330,2.64902,2026-01-22,1,1,1,4,1,0,4,2024-10-03,8,5,3,48,1,0,48,15.000,,1,3728.00,1,2,"2416 US Highway 70 East,Beaufort,NC,28516",34.7602,-76.527,,2026-04-01
345183,Cabarrus Health and Rehabilitation Center,430 Brookwood Avenue NE,Concord,NC,28025,7047884115,120,Cabarrus,Y,For profit - Corporation,120,108.3,,Medicare and Medicaid,N,"UNIVERSAL HEALTH CARE CONCORD, INC",1979-05-01,LIFEWORKS REHAB,768,62,2.1,2.1,1.5,4.0,N,SFF Candidate,N,N,N,Resident,Yes,1,,1,,2,,2,,2,,1,,,,1.90883,0.96638,0.33663,1.30301,3.21184,2.93894,0.28802,0.20008,73.9,,66.7,,2,,1.47540,1.06015,2.47222,0.91206,0.72018,4.10446,3.64121,1.78796,0.90519,0.31531,3.00846,2.75284,2025-06-27,23,16,15,227,2,114,341,2024-04-18,27,14,14,242,1,0,242,316.250,,8,140956.00,3,11,"430 Brookwood Avenue NE,Concord,NC,28025",35.4311,-80.58,,2026-04-01
345184,Laurel Park Rehabilitation and Healthcare Center,901 Halstead Boulevard,Elizabeth City,NC,27909,2523380137,690,Pasquotank,N,For profit - Corporation,108,98.2,,Medicare and Medicaid,N,LAUREL PARK OPCO LLC,1978-08-01,YAD HEALTHCARE,640,13,1.7,2.2,1.5,2.9,N,,N,N,N,Resident,Yes,1,,2,,3,,4,,3,,1,,,,1.78372,0.65443,0.38236,1.03679,2.82051,2.43371,0.17509,0.00000,70.5,,58.3,,1,,1.34616,0.96729,2.25566,0.83217,0.65709,3.74493,3.32225,1.83117,0.67184,0.39254,2.89555,2.49845,2025-05-21,12,12,4,76,1,0,76,2024-05-22,6,6,1,32,1,0,32,65.000,,1,10868.00,0,1,"901 Halstead Boulevard,Elizabeth City,NC,27909",36.2881,-76.242,,2026-04-01
345185,Premier Living and Rehab Center,106 Cameron Street,Lake Waccamaw,NC,28450,9106463132,230,Columbus,N,For profit - Individual,127,69.5,,Medicare and Medicaid,N,PREMIER LIVING AND REHAB CENTER,1978-09-29,,,,,,,,N,SFF Candidate,Y,N,N,Resident,Yes,1,,1,,1,,1,,1,,1,23,23,23,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-06-26,20,20,3,172,1,0,172,2024-07-02,29,29,12,751,2,376,1127,410.750,,2,381817.00,2,4,"106 Cameron Street,Lake Waccamaw,NC,28450",34.3215,-78.518,,2026-04-01
345186,Five Oaks Rehabilitation and Care Center,413 Winecoff School Road,Concord,NC,28027,7047882131,120,Cabarrus,Y,For profit - Limited Liability company,160,151.5,,Medicare and Medicaid,N,FIVE OAKS SNF OPERATIONS LLC,1978-12-01,VENZA CARE MANAGEMENT,614,22,2.4,2.5,3.3,2.4,N,,N,N,N,Both,Yes,2,,2,,3,,3,,4,,2,,,,2.30139,1.14987,0.34507,1.49494,3.79633,3.40549,0.11934,0.10189,57.4,,45.5,,0,,1.46093,1.04976,2.44797,0.90312,0.71312,4.06421,3.60550,2.17701,1.08772,0.32642,3.59116,3.22143,2026-03-16,2,2,0,12,0,0,12,2025-03-05,9,8,3,159,1,0,159,48.750,,1,17345.00,0,1,"413 Winecoff School Road,Concord,NC,28027",35.4468,-80.621,,2026-04-01
345187,Grace Heights Health & Rehabilitation,109 Foothills Drive,Morganton,NC,28655,8285807000,110,Burke,Y,For profit - Limited Liability company,120,66.0,,Medicare and Medicaid,N,GRACE HEIGHTS REHABILITATION AND SKILLED NURSING CENTER LLC,1980-06-01,SANSTONE HEALTH & REHABILITATION,465,17,4.1,3.6,2.8,4.5,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,4,,3,,,,2.82859,1.03900,0.67139,1.71039,4.53898,3.98989,0.31460,0.05994,,26,,26,1,,1.33403,0.95857,2.23533,0.82467,0.65117,3.71117,3.29231,2.93025,1.07634,0.69552,4.70211,4.13329,2026-01-23,0,0,0,0,0,0,0,2024-09-11,3,1,2,16,1,0,16,4.000,,0,0.00,0,0,"109 Foothills Drive,Morganton,NC,28655",35.7271,-81.652,,2026-04-01
345190,Murphy Rehabilitation & Nursing,230 NC HWY 141,Murphy,NC,28906,8288357580,190,Cherokee,N,For profit - Corporation,134,111.0,,Medicare and Medicaid,N,MURPHY REHABILITATION INC,1979-01-15,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,4,,3,,5,,4,,,,2.25385,0.70291,0.46332,1.16623,3.42008,2.99800,0.14686,0.05304,34.4,,20.0,,0,,1.22512,0.88031,2.05284,0.75735,0.59801,3.40820,3.02353,2.54241,0.79291,0.52264,3.85795,3.38183,2026-03-05,0,0,0,0,0,0,0,2024-12-19,9,9,0,56,1,0,56,14.000,,0,0.00,0,0,"230 NC HWY 141,Murphy,NC,28906",35.0673,-84.126,22,2026-04-01
345191,Surry Community Health Center by Harborview,542 Allred Mill Road,Mount Airy,NC,27030,3367895076,850,Surry,N,For profit - Corporation,120,109.3,,Medicare and Medicaid,N,"SURRY COMMUNITY HEALTH CENTER BY HARBORVIEW, LLC",1981-05-01,HARBORVIEW HEALTH SYSTEMS,246,21,1.9,2.1,2.3,2.3,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,2,,2,,,,2.49853,0.43153,0.34372,0.77525,3.27378,2.79043,0.11813,0.00139,37.8,,44.4,,0,,1.31271,0.94325,2.19961,0.81149,0.64077,3.65187,3.23970,2.63036,0.45430,0.36186,3.44652,2.93766,2025-06-11,5,5,2,20,1,0,20,2024-03-27,21,18,14,905,1,0,905,241.250,,1,145262.00,0,1,"542 Allred Mill Road,Mount Airy,NC,27030",36.5234,-80.618,,2026-04-01
345192,Longleaf Neuro-Medical Treatment Center,4761 Ward Boulevard,Wilson,NC,27893,2523992112,970,Wilson,N,Government - State,248,85.2,,Medicare and Medicaid,N,Legal Business Name Not Available,1979-01-08,,,,,,,,N,,N,N,N,Resident,Yes,3,,2,,2,,2,,,2,5,,,,9.49919,1.71990,2.16186,3.88176,13.38095,10.81223,1.21009,0.00000,26.3,,15.4,,,26,1.30121,0.93499,2.18034,0.80438,0.63515,3.61988,3.21131,10.08878,1.82665,2.29604,14.21147,11.48332,2025-06-18,1,0,1,20,0,0,20,2024-03-14,6,5,5,161,1,0,161,55.250,,2,144935.00,1,3,"4761 Ward Boulevard,Wilson,NC,27893",35.7251,-77.896,,2026-04-01
345193,Mountain View Manor Nursing Center,410 Buckner Branch Road,Bryson City,NC,28713,8284882101,860,Swain,N,For profit - Limited Liability company,120,73.6,,Medicare and Medicaid,N,Legal Business Name Not Available,1979-03-02,,,,,,,,N,,N,N,N,Resident,Yes,1,,2,,2,,2,,3,,1,,,,1.90262,0.86493,0.53853,1.40345,3.30607,3.02993,0.20873,0.01928,,26,,26,,26,1.30471,0.93750,2.18620,0.80654,0.63686,3.62961,3.21995,2.01529,0.91615,0.57042,3.50186,3.20936,2025-04-17,10,10,2,44,1,0,44,2024-01-26,18,18,18,104,1,0,104,59.000,,1,14131.00,1,2,"410 Buckner Branch Road,Bryson City,NC,28713",35.4194,-83.468,,2026-04-01
345194,Glenflora,5701 Fayetteville Road,Lumberton,NC,28360,9107392821,770,Robeson,N,Non profit - Corporation,52,46.5,,Medicare and Medicaid,N,GLENFLORA,1979-06-11,LUTHERAN SERVICES CAROLINAS,327,9,4.3,3.7,4.7,3.0,N,,N,N,N,Resident,Yes,5,,4,,5,,3,,5,,4,,,,2.82406,1.27110,0.39461,1.66571,4.48977,3.89042,0.23125,0.02509,54.0,,40.0,,0,,1.20566,0.86633,2.02024,0.74532,0.58851,3.35407,2.97551,3.23703,1.45698,0.45232,5.14633,4.45933,2026-02-12,1,1,0,8,1,0,8,2024-12-12,1,0,1,20,0,0,20,11.000,,1,14689.00,0,1,"5701 Fayetteville Road,Lumberton,NC,28360",34.6888,-79.016,,2026-04-01
345195,Edgecombe Health Center by Harborview,1000 Western Boulevard,Tarboro,NC,27886,2528230401,320,Edgecombe,Y,For profit - Individual,159,142.5,,Medicare and Medicaid,N,"EDGECOMBE HEALTH CENTER BY HARBORVIEW, LLC",1979-10-01,HARBORVIEW HEALTH SYSTEMS,246,21,1.9,2.1,2.3,2.3,N,,N,N,N,Resident,Yes,3,,3,,2,,1,,3,,2,,,,2.03145,0.76244,0.39557,1.15801,3.18946,2.92371,0.27041,0.03906,43.7,,43.8,,1,,1.36023,0.97740,2.27924,0.84087,0.66396,3.78407,3.35698,2.06392,0.77462,0.40189,3.24043,2.97044,2025-03-13,6,6,0,28,1,0,28,2024-01-25,6,6,1,24,1,0,24,27.000,,0,0.00,0,0,"1000 Western Boulevard,Tarboro,NC,27886",35.8968,-77.557,,2026-04-01
345196,Mountain Vista Health Park,106 Mountain Vista Health Park Road,Denton,NC,27239,3368592181,280,Davidson,Y,Non profit - Corporation,60,54.0,,Medicare and Medicaid,N,"MOUNTAIN VISTA HEALTH PARK, INC.",1980-02-04,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,,2,5,,,,2.41460,1.33918,0.74952,2.08870,4.50330,3.79978,0.35640,0.05285,20.9,,20.0,,0,,1.22333,0.87903,2.04984,0.75624,0.59714,3.40322,3.01911,2.72773,1.51285,0.84672,5.08730,4.29255,2025-05-01,0,0,0,0,0,0,0,2024-02-01,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"106 Mountain Vista Health Park Road,Denton,NC,27239",35.6176,-80.111,22,2026-04-01
345197,Willow Ridge Of NC,237 Tryon Road,Rutherfordton,NC,28139,8282867200,800,Rutherford,N,For profit - Corporation,150,120.8,,Medicare and Medicaid,N,WILLOW RIDGE HEALTHCARE LLC,1980-03-06,CCH HEALTHCARE,124,32,2.5,2.4,2.4,3.8,N,,Y,N,N,Resident,Yes,1,,1,,3,,5,,2,,3,,,,2.17973,0.85551,0.43379,1.28930,3.46903,2.90987,0.28455,0.02206,57.5,,16.7,,0,,1.17606,0.84506,1.97063,0.72701,0.57406,3.27171,2.90244,2.56137,1.00530,0.50975,4.07642,3.41936,2025-02-04,12,12,7,80,1,0,80,2023-11-03,10,8,6,198,2,99,297,134.250,,4,146939.00,1,5,"237 Tryon Road,Rutherfordton,NC,28139",35.3639,-81.97,,2026-04-01
345198,Aston Park Health Care Center,380 Brevard Road,Asheville,NC,28806,8282534437,100,Buncombe,Y,Non profit - Corporation,120,106.9,,Medicare and Medicaid,N,"ASTON PARK HEALTH CARE CENTER, INC.",1980-06-03,LUTHERAN SERVICES CAROLINAS,327,9,4.3,3.7,4.7,3.0,N,,N,N,N,Resident,Yes,5,,4,,3,,2,,3,,5,,,,2.29516,0.57786,1.07898,1.65683,3.95199,3.89410,0.76663,0.04204,35.7,,15.4,,0,,1.22221,0.87822,2.04796,0.75554,0.59659,3.40009,3.01633,2.59518,0.65340,1.22002,4.46860,4.40314,2025-02-20,2,2,0,8,1,0,8,2023-10-12,1,1,1,4,0,0,4,7.000,,0,0.00,0,0,"380 Brevard Road,Asheville,NC,28806",35.5627,-82.595,,2026-04-01
345199,Carol Woods,750 Weaver Dairy Road,Chapel Hill,NC,27514,9199684511,670,Orange,Y,Non profit - Corporation,30,21.8,,Medicare,N,"THE CHAPEL HILL RESIDENTIAL RETIREMENT CENTER, INC.",1980-01-30,,,,,,,,Y,,N,N,N,Both,Yes,5,,4,,5,,4,,5,,5,,,,3.47399,0.49439,2.24227,2.73666,6.21065,5.64688,1.90527,0.06867,32.4,,30.0,,,26,1.25373,0.90087,2.10077,0.77503,0.61197,3.48777,3.09412,3.82935,0.54496,2.47164,6.84596,6.22452,2025-06-26,0,0,0,0,0,0,0,2024-06-06,5,5,0,32,1,0,32,8.000,,0,0.00,0,0,"750 Weaver Dairy Road,Chapel Hill,NC,27514",35.9638,-79.041,,2026-04-01
345201,Pelican Health at Charlotte,2616 East 5th Street,Charlotte,NC,28204,7043335165,590,Mecklenburg,Y,For profit - Corporation,120,75.3,,Medicare and Medicaid,N,PELICAN HEALTH AT CHARLOTTE LLC,1980-12-22,SIMCHA HYMAN & NAFTALI ZANZIPER,580,94,2.4,2.5,2.4,3.4,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,,2,2,,,,1.75913,0.65462,0.80135,1.45597,3.21511,2.91544,0.59059,0.07408,69.1,,70.6,,1,,1.36836,0.98324,2.29285,0.84589,0.66793,3.80667,3.37703,1.77664,0.66114,0.80932,3.24710,2.94445,2025-02-03,9,9,5,115,1,0,115,2023-08-29,22,20,22,344,1,0,344,172.250,1,7,97610.00,0,7,"2616 East 5th Street,Charlotte,NC,28204",35.2058,-80.812,,2026-04-01
345202,Capital Nursing and Rehabilitation Center,3000 Holston Lane,Raleigh,NC,27610,9192316045,910,Wake,Y,For profit - Corporation,125,99.9,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,1980-10-01,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,3,,3,,,,2.03085,0.85688,0.41698,1.27385,3.30470,2.98593,0.31616,0.05754,40.4,,28.6,,0,,1.34351,0.96538,2.25121,0.83053,0.65580,3.73754,3.31569,2.08900,0.88141,0.42891,3.39933,3.07142,2025-08-07,5,4,1,16,1,0,16,2024-07-18,6,5,5,20,1,0,20,17.000,,0,0.00,0,0,"3000 Holston Lane,Raleigh,NC,27610",35.7858,-78.582,,2026-04-01
345203,Life Care Center of Banner Elk,185 Norwood Hollow Road,Banner Elk,NC,28604,8288985136,050,Avery,N,For profit - Corporation,118,68.3,,Medicare and Medicaid,N,BANNER ELK OPERATIONS LLC,1981-10-01,LIFE CARE CENTERS OF AMERICA,311,194,3.5,2.9,3.3,4.5,N,,N,N,N,Resident,Yes,5,,4,,5,,4,,5,,2,,,,1.60132,0.98053,0.39069,1.37122,2.97255,2.75100,0.20167,0.07970,25.0,,55.6,,0,,1.37010,0.98449,2.29577,0.84697,0.66878,3.81152,3.38133,1.61520,0.98903,0.39408,2.99831,2.77484,2025-08-06,3,3,0,12,1,0,12,2024-08-21,3,3,0,16,1,0,16,13.000,,0,0.00,0,0,"185 Norwood Hollow Road,Banner Elk,NC,28604",36.1349,-81.85,,2026-04-01
345204,StoneCreek Health and Rehabilitation,455 Victoria Road,Asheville,NC,28801,8282520099,100,Buncombe,Y,For profit - Corporation,120,102.2,,Medicare and Medicaid,N,"STONECREEK HEALTH AND REHABILITATION, LLC",1981-06-17,SANSTONE HEALTH & REHABILITATION,465,17,4.1,3.6,2.8,4.5,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,5,,2,,,,2.33840,0.48950,0.50474,0.99424,3.33264,2.77439,0.32820,0.01516,43.8,,52.9,,0,,1.44076,1.03526,2.41418,0.89065,0.70327,4.00810,3.55572,2.24299,0.46953,0.48414,3.19666,2.66118,2025-04-14,5,5,1,141,1,0,141,2023-12-22,7,7,4,44,1,0,44,116.750,0,1,38431.00,0,1,"455 Victoria Road,Asheville,NC,28801",35.5661,-82.556,,2026-04-01
345205,Westwood Hills Nursing and Rehabilitation Center,1016 Fletcher Street,Wilkesboro,NC,28697,3366679261,960,Wilkes,N,For profit - Limited Liability company,176,118.7,,Medicare and Medicaid,N,"EAGLE PEAK LTC GROUP, LLC",1981-07-30,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,4,,4,,3,,4,,2,,3,,,,1.94731,0.33406,0.71253,1.04658,2.99389,2.44174,0.39188,0.04340,34.8,,33.3,,2,,1.13612,0.81637,1.90372,0.70233,0.55457,3.16062,2.80389,2.36869,0.40635,0.86671,3.64175,2.97011,2025-11-19,2,2,1,8,1,0,8,2024-08-21,5,3,3,64,1,0,64,22.000,,1,8648.00,0,1,"1016 Fletcher Street,Wilkesboro,NC,28697",36.1357,-81.164,,2026-04-01
345206,Madison Health and Rehabilitation,345 Manor Road,Mars Hill,NC,28754,8286895200,570,Madison,Y,For profit - Limited Liability company,100,88.7,,Medicare and Medicaid,N,"MADISON HEALTH AND REHABILITATION, LLC",1981-05-25,SANSTONE HEALTH & REHABILITATION,465,17,4.1,3.6,2.8,4.5,N,,Y,N,N,Resident,Yes,3,,2,,5,,5,,4,,4,,,,2.31415,0.47162,0.75034,1.22196,3.53612,2.83598,0.39516,0.06666,33.0,,27.8,,0,,1.34803,0.96863,2.25880,0.83333,0.65801,3.75013,3.32687,2.37242,0.48350,0.76923,3.62515,2.90738,2026-02-11,2,1,1,28,1,0,28,2024-11-15,1,1,0,8,1,0,8,23.000,,1,9110.00,0,1,"345 Manor Road,Mars Hill,NC,28754",35.8327,-82.529,,2026-04-01
345207,Liberty Commons Nursing and Rehabilitation Center,1402 Pinckney Street,Whiteville,NC,28472,9106424245,230,Columbus,N,For profit - Corporation,107,99.0,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,1981-10-01,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,1,,1,,2,,1,,2,,2,,,,2.67439,0.99459,0.38970,1.38429,4.05868,3.72918,0.26610,0.04312,59.0,,58.3,,2,,1.25824,0.90411,2.10834,0.77782,0.61418,3.50034,3.10527,2.93738,1.09239,0.42803,4.45780,4.09589,2025-07-10,5,5,0,28,1,0,28,2024-07-26,16,6,12,405,1,0,405,122.250,,5,135234.00,0,5,"1402 Pinckney Street,Whiteville,NC,28472",34.3463,-78.702,,2026-04-01
