Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345503,Liberty Commons Nsg and Rehab Ctr of Rowan County,Salisbury,NC,28147,2024-09-11,12,60,10,82,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345505,Carolina Rehab Center of Cumberland,Fayetteville,NC,28306,2025-07-02,49,78,4,131,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345506,Whitestone a Masonic and Eastern Star Community,Greensboro,NC,27407,2025-04-17,24,19,6,49,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,No,,0,12,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345507,Autumn Care of Myrtle Grove,Wilmington,NC,28412,2024-07-23,13,43,14,70,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Healthcare Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345508,UNC Rex Rehab & Nursing Care Center of Apex,Apex,NC,27502,2025-05-22,23,33,40,96,SNF/NF Distinct Part,Yes,Non-Profit - Nonprofit Corporation,Yes,UNC Rex Hospital Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345509,Dahlia Gardens Center for Nursing and Rehabilitation,Aberdeen,NC,28315,2024-08-08,3,66,14,83,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345510,Tarboro Health and Rehabilitation LLC,Tarboro,NC,27886,2025-01-09,8,70,12,90,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,24,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345511,Autumn Care of Statesville,Statesville,NC,28625,2025-04-16,21,64,9,94,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345512,Cypress Glen Retirement Community,Greenville,NC,27858,2024-09-19,2,0,1,3,Skilled Nursing Facility (SNF) - Medicare Participation,No,Non-Profit - Nonprofit Corporation,Yes,The United Methodist Retirement Homes,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345513,Tower Nursing and Rehabilitation Center,Raleigh,NC,27604,2025-03-20,21,50,11,82,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Principle Ltc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345514,Autumn Care of Nash,Nashville,NC,27856,2024-06-13,22,33,3,58,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Healthcare Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345515,PruittHealth-Town Center,Harrisburg,NC,28075,2024-06-25,12,32,22,66,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Pruitt Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345516,Conover Nursing And Rehabilitation Center,Conover,NC,28613,2025-02-21,8,48,18,74,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345518,Inn at Quail Haven Village,Pinehurst,NC,28374,2024-06-05,20,17,0,37,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Liberty Healthcare Corporation,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,Yes
345519,Liberty Commons Nursing & Rehabilitation Center of Johnston County,Benson,NC,27504,2024-07-12,21,73,4,98,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Health Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345520,Magnolia Gardens Center for Nursing and Rehabilitation,Thomasville,NC,27360,2024-07-11,1,71,28,100,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345522,Fletcher Rehabilitation and Healthcare Center,Fletcher,NC,28732,2025-06-02,9,46,19,74,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345523,Ramseur Rehabilitation and Healthcare Center,Ramseur,NC,27316,2024-05-17,2,68,12,82,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Yad Healthcare,0,24,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345525,The Gardens of Taylor Glen Retirement Community,Concord,NC,28027,2024-11-07,3,0,0,3,Skilled Nursing Facility (SNF) - Medicare Participation,No,Non-Profit - Nonprofit Corporation,Yes,Thrivemore,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345526,Carolina Rehab Center of Burke,Connelly Spring,NC,28612,2024-08-01,44,34,0,78,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345528,River Landing at Sandy Ridge,Colfax,NC,27235,2024-11-21,5,3,47,55,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Kintura,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,Yes
345529,Perry Creek Health and Rehabilitation Center,Raleigh,NC,27616,2025-02-24,21,89,8,118,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345530,Penn Nursing Center,Reidsville,NC,27320,2025-01-30,3,50,15,68,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,Yes,Cone Health,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,Yes
345531,NC State Veterans Home - Salisbury,Salisbury,NC,28145,2024-08-08,5,25,6,36,SNF/NF - Medicare/Medicaid,No,Government - State,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345532,Liberty Commons Nursing and Rehabilitation Center of Lee County LLC,Sanford,NC,27332,2025-05-05,3,59,15,77,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Liberty Health Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345533,The Cedars of Chapel Hill,Chapel Hill,NC,27517,2025-04-30,2,0,7,9,SNF (Medicare) Only,No,Non-Profit - Other Nonprofit,No,,0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,,0,,0,No
345534,Sanford Health & Rehabilitation Co,Sanford,NC,27330,2025-04-04,8,75,20,103,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Sanstone Health and Rehabilitation,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345535,Adams Farm Living & Rehabilitation,Jamestown,NC,27282,2024-08-21,8,44,46,98,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Century Care Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345537,"Peak Resources-Wilmington, Inc",Wilmington,NC,28401,2025-03-07,2,70,18,90,SNF/NF Distinct Part,No,For Profit - Corporation,Yes,Peak Resources Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345538,PruittHealth-Raleigh,Raleigh,NC,27603,2024-11-15,11,76,59,146,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Pruitt Health,0,20,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345539,The Arbor,Pittsboro,NC,27312,2025-03-12,2,0,0,2,SNF (Medicare) Only,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345541,Lakeside Health & Rehab Center,Huntersville,NC,28078,2024-09-27,20,56,27,103,SNF/NF - Medicare/Medicaid,No,Government - Federal,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345542,The Forest At Duke Inc,Durham,NC,27705,2024-11-19,3,0,0,3,SNF (Medicare) Only,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345543,Bermuda Commons Nursing and Rehabilitation Center,Advance,NC,27006,2025-03-06,8,72,23,103,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Liberty Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345544,Asbury Health and Rehabilitation Center,Charlotte,NC,28215,2024-10-16,41,11,59,111,SNF/NF - Medicare/Medicaid,No,Non-Profit - Other Nonprofit,Yes,"Givens Estates, Inc.",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345546,The Rosewood Health Center,Raleigh,NC,27615,2024-03-08,48,0,0,48,Skilled Nursing Facility (SNF) - Medicare Participation,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345547,Camden Health and Rehabilitation,Greensboro,NC,27407,2024-03-27,17,73,36,126,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Sanstone Health and Rehab,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345548,Ashton Health and Rehabilitation,McLeansville,NC,27301,2024-05-01,16,61,48,125,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Sanstone Health and Rehab,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345549,Brunswick Rehabilitation and Healthcare Center,Bolivia,NC,28422,2025-03-05,12,54,13,79,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Yad Healthcare,0,20,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345550,White Oak of Waxhaw,Waxhaw,NC,28173,2024-08-02,23,41,28,92,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,National Healthcare Corp,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345551,PruittHealth-Carolina Point,Durham,NC,27705,2024-10-17,8,75,30,113,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Pruitt Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345552,The Shannon Gray Rehabilitation & Recovery Center,Jamestown,NC,27282,2025-04-03,5,54,36,95,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345553,Autumn Care of Fayetteville,Fayetteville,NC,28314,2025-01-09,4,43,37,84,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345554,Trinity Grove,Wilmington,NC,28412,2024-10-10,19,27,46,92,SNF/NF - Medicare/Medicaid,No,Non-Profit - Church Related,Yes,Lutheran Services Carolinas,0,25,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345555,Hillcrest Raleigh at Crabtree Valley,Raleigh,NC,27612,2025-03-20,42,27,32,101,SNF/NF Distinct Part,No,For Profit - Corporation,Yes,Hillcrest Convalescent Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345556,Deerfield Episcopal Retirement,Asheville,NC,28803,2025-04-03,3,0,56,59,SNF (Medicare) Only,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345557,Azalea Health & Rehab Center,Wilmington,NC,28412,2024-04-02,11,39,16,66,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Saber Healthcare Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345558,NC State Veterans Home - Black Mountain,Black Mountain,NC,28711,2024-09-05,2,36,43,81,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Pruitt Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345559,Homestead Hills,Winston-Salem,NC,27103,2025-05-08,6,0,28,34,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Senior Living Communities,0,11,0,0,0,2,0,0,0,Yes,No,No,No,,0,,0,No
345560,NC State Veterans Home-Kinston,Kinston,NC,28504,2024-08-22,4,38,54,96,SNF/NF - Medicare/Medicaid,No,Government - State,Yes,Department of Military and Veterans Affairs,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345561,Fuquay-Varina Health and Rehabilitation Center,Fuquay Varina,NC,27526,2024-12-05,19,62,17,98,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345562,Clear Creek Nursing & Rehabilitation Center,Mint Hill,NC,28227,2025-03-21,10,57,37,104,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,"Spruce LTC, LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345563,Pavilion Health Center at Brightmore,Charlotte,NC,28277,2024-03-26,7,49,45,101,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Liberty Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345564,Sharon Towers,Charlotte,NC,28210,2024-11-07,6,0,0,6,Skilled Nursing Facility (SNF) - Medicare Participation,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345565,Trinity Elms,Clemmons,NC,27012,2025-01-17,9,33,47,89,SNF/NF Dual Certification,No,Non-Profit - Church Related,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345566,PruittHealth-Union Pointe,Monroe,NC,28110,2025-05-12,14,48,19,81,SNF/NF Dual Certification,No,For Profit - LLC,Yes,PruittHealth,0,21,2,0,0,2,0,0,0,Yes,No,No,No,,0,,0,No
345567,Autumn Care of Cornelius,Cornelius,NC,28031,2024-05-02,15,54,24,93,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Health Care Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345568,Davis Health and Wellness Center at Cambridge Village,Wilmington,NC,28405,2025-01-24,6,2,10,18,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,No,No,No,No,,0,,0,No
345569,Springbrook Nursing and Rehabilitation Center,Clayton,NC,27520,2025-04-24,11,52,29,92,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345570,Huntersville Health & Rehabilitation Center,Huntersville,NC,28078,2025-05-07,34,19,34,87,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345571,Bradley Creek Health Center,Wilmington,NC,28403,2024-04-11,26,0,1,27,SNF (Medicare) Only,No,For Profit - Corporation,Yes,Liberty Senior Living,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345572,The Cardinal at North Hills,Raleigh,NC,27609,2024-09-19,3,0,10,13,Skilled Nursing Facility (SNF) - Medicare Participation,No,For Profit - LLC,Yes,Kisco Senior Living,0,10,0,0,0,0,0,0,0,No,No,No,Yes,,0,,0,No
345573,Arbor Acres United Methodist Retirement Community,Winston Salem,NC,27104,2025-03-20,2,0,2,4,SNF (Medicare) Only,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345574,Bellarose Nursing And Rehab,Garner,NC,27529,2024-05-16,27,37,26,90,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345575,Brunswick Health & Rehab Center,Ash,NC,28420,2025-02-18,11,53,31,95,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345576,Parkview Health and Rehabilitation Center,Chapel Hill,NC,27517,2024-10-03,12,41,43,96,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,"Long Term Care Management Services, LLC",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345577,Swift Creek Health Center,CARY,NC,27518,2025-06-18,1,0,2,3,SNF (Medicare) Only,No,For Profit - Corporation,Yes,Liberty Senior Living,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345578,Briar Creek Health Center,Charlotte,NC,28210,2025-05-06,1,0,0,1,SNF (Medicare) Only,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,No,No,No,Yes,,0,,0,No
345579,North Carolina State Veterans Home Kernersville,Kernersville,NC,27284,2024-08-22,1,0,62,63,SNF/NF - Medicare/Medicaid,No,Government - State,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345580,Embassy at Morehead City,MOREHEAD CITY,NC,28557,2026-02-17,0,0,1,1,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Embassy Healthcare,0,0,0,0,0,0,0,0,0,No,No,No,No,,0,,0,No
34A001,Black Mountain Neuro-Medical Treatment Center,Black Mountain,NC,28711,2024-08-15,0,74,0,74,Nursing Facility (NF) - Medicaid Participation,No,Government - State,No,,0,71,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
34A002,O'Berry Neuro-Medical Treatment Center,Goldsboro,NC,27533,2024-12-16,0,120,0,120,Nursing Facility (NF) - Medicaid Participation,No,Government - State,Yes,State of NC DHHS,0,0,0,0,0,0,0,0,144,Yes,Yes,No,No,,0,,0,No
