Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345411,Skyland Terrace and Rehabilitation,Waynesville,NC,28786,2024-12-06,9,60,11,80,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345412,Brantwood Nh & Retirement Center,Oxford,NC,27565,2024-12-18,6,34,2,42,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345413,Fleshers Fairview Health Care,Fairview,NC,28730,2024-09-06,6,40,7,53,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345414,"Haymount Rehabilitation & Nursing Center, Inc.",Fayetteville,NC,28303,2025-05-01,11,66,11,88,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Century Care management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345415,Pineville Rehabilitation and Living Center,Pineville,NC,28134,2025-06-06,6,51,27,84,SNF/NF Dual Certification,No,For Profit - LLC,Yes,CCH Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345416,Bermuda Village Retirement Center,Bermuda Run,NC,27006,2025-03-20,14,1,20,35,SNF/NF Distinct Part,No,For Profit - LLC,No,,0,0,0,0,0,7,0,0,0,No,No,No,No,,0,,0,No
345417,Hillside Nursing Center of Wake Forest,Wake Forest,NC,27588,2024-09-06,25,54,33,112,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345418,Swannanoa Valley Health and Rehabilitation,Swannanoa,NC,28778,2024-09-18,21,78,4,103,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Ascent Healthcare,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345419,Lexington Health Care Center,Lexington,NC,27292,2025-04-29,7,63,21,91,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345420,Alamance Health Care Center,Burlington,NC,27217,2025-05-01,19,90,57,166,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
