rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days Other,Total Days Total,Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges Title Other,Total Discharges Total,SNF Average Length of Stay Title V,SNF Average Length of Stay Title XVIII,SNF Average Length of Stay Title XIX,SNF Average Length of Stay Total,SNF Admissions Title V,SNF Admissions Title XVIII,SNF Admissions Title XIX,SNF Admissions Other,SNF Admissions Total,SNF Days Title V,SNF Days Title XVIII,SNF Days Title XIX,SNF Days Other,SNF Days Total,SNF Number of Beds,SNF Bed Days Available,SNF Discharges Title V,SNF Discharges Title XVIII,SNF Discharges Title XIX,SNF Discharges Title Other,SNF Discharges Total,NF Number of Beds,NF Bed Days Available,NF Days Title V,NF Days Title XIX,NF Days Other,NF Days Total,NF Discharges Title V,NF Discharges Title XIX,NF Discharges Title Other,NF Discharges Total,NF Average Length of Stay Title V,NF Average Length of Stay Title XIX,NF Average Length of Stay Total,NF Admissions Title V,NF Admissions Title XIX,NF Admissions Other,NF Admissions Total,Total RUG Days,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Total Charges,Total Costs,Wage-related Costs (core),Total Salaries (adjusted),Contract Labor,Cash on hand and in banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for uncollectible notes and accounts receivable,Inventory,Prepaid expenses,Other current assets,Total Current Assets,Land,Land improvements,Buildings,Leasehold improvements,Fixed equipment,Major movable equipment,Minor equipment depreciable,Total fixed Assets,Investments,Other Assets,Total other Assets,Total Assets,Accounts payable,"Salaries, wages, and fees payable",Payroll taxes payable,Notes and Loans Payable (short term),Deferred income,Other current liabilities,Total current liabilities,Mortgage payable,Notes Payable,Unsecured Loans,Other long term liabilities,Total long term liabilities,Total liabilities,General fund balance,Total fund balances,Total Liabilities and fund balances,Total General Inpatient Care Services Revenue,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Less Contractual Allowance and discounts on patients' accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from service to patients,Total Other Income,Total Income,Net Income,Inpatient PPS Amount,Nursing and Allied Health Education Activities,Allowable Bad Debts
1407549,345077,SUNNYBROOK REHABILITATION CENTER,25 SUNNYBROOK ROAD,RALEIGH,NC,27610-1894,WAKE,39580,U,2023-01-01,2023-12-31,4,,5575,16944,8500,31019,95,34675,,199,65,263,527,,28,261,59,,226,38,281,545,,5575,16944,8500,31019,95,34675,,199,65,263,527,,,,,,,,,,,,,,,,,,,5128289,5860879,4138314,1786295,590983,5128289,532310,1521,,,1869294,428044,,243271,1076,1496419,,,,438046,387744,,,382411,,3191477,3191477,5070307,260812,270048,,1258252,,12439,1819507,,1761185,,,1761185,3580692,1489615,1489615,5070307,10394821,14573376,,14573376,2719637,11853739,10989168,864571,13677,878248,878248,3298235,,165260
1407550,345104,ZEBULON REHABILITATION CENTER,509 WEST GANNON AVENUE,ZEBULON,NC,27597-2509,WAKE,39580,U,2023-01-01,2023-12-31,4,,4389,10592,5226,20207,60,21900,,119,44,133,296,,37,241,68,,136,17,152,305,,4389,10592,5226,20207,60,21900,,119,44,133,296,,,,,,,,,,,,,,,,,,,3340109,3723114,2802326,1094264,422291,3340109,177976,2114,,,1157449,111430,,130149,517,1092311,,,,308045,283743,,,320967,,2114784,2114784,3528062,101573,207382,,814344,,3921,1154351,,1139842,,,1139842,2294193,1233869,1233869,3528062,6995431,9797758,,9797758,1696219,8101539,7063223,1038316,11265,1049581,1049581,2800919,,214694
1407551,345254,MONROE REHABILITATION CENTER,1212 SUNSET DRIVE,MONROE,NC,28112,UNION,16740,U,2023-01-01,2023-12-31,4,,2068,32595,6133,40796,147,53655,,48,70,66,184,,43,466,222,,81,39,89,209,,2068,32595,6133,40796,147,53655,,48,70,66,184,,,,,,,,,,,,,,,,,,,5150764,7050609,2733960,1405018,611979,5150764,1590638,6397,,,2566659,556203,,135844,866,1923805,,,,662957,522616,,,622766,,1554475,1554475,4101046,363258,288356,,585563,,12885,1325724,,819616,,,819616,2145340,1955706,1955706,4101046,12480951,15286298,,15286298,1671644,13614654,12201373,1413281,8364,1421645,1421645,1227977,,86051
1407552,345260,ROCKY MOUNT REHABILITATION CENTER,160 WINSTEAD AVENUE,ROCKY MOUNT,NC,27804-3452,NASH,40580,U,2023-01-01,2023-12-31,4,,3989,28315,7153,39457,117,42705,,104,73,155,332,,38,388,119,,127,54,180,361,,3989,28315,7153,39457,117,42705,,104,73,155,332,,,,,,,,,,,,,,,,,,,5121084,7269644,2814896,1371001,593435,5121084,1118852,3098,,,2825753,730405,,239335,1887,1752167,,,,663526,480918,,,552228,,4152147,4152147,6456542,241562,321710,,1620535,,20628,2270651,,2268275,,,2268275,4538926,1917616,1917616,6456542,12886845,15808707,,15808707,2320389,13488318,12390728,1097590,7838,1105428,1105428,2251084,,333212
1408383,345159,LINCOLNTON REHABILITATION CENTER,1410 EAST GASTON STREET,LINCOLNTON,NC,28092,LINCOLN,16740,U,2023-01-01,2023-12-31,4,,4002,27355,6664,38021,120,43800,,80,72,177,329,,50,380,116,,119,47,205,371,,4002,27355,6664,38021,120,43800,,80,72,177,329,,,,,,,,,,,,,,,,,,,5610709,5819924,4068529,1592459,689326,5610709,729603,3892,,,2089674,158396,,104839,310,2174955,,,,316168,305642,,,254644,,2021119,2021119,4450718,233308,322926,,693130,,11745,1281441,,970179,,,970179,2251620,2199098,2199098,4450718,12724586,16793400,,16793400,2222146,14571254,11430633,3140621,5262,3145883,3145883,2726531,,211573
1408715,345014,LINDEN PLACE NURSING AND REHAB,1201 CAROLINA STREET,GREENSBORO,NC,27401,GUILFORD,24660,U,2023-01-01,2023-12-31,4,,1020,23630,7152,31802,105,38325,,24,109,137,270,,42,217,118,,32,94,151,277,,1020,23630,7152,31802,105,38325,,24,109,137,270,,,,,,,,,,,,,,,,,,,2552814,8171007,604575,702697,308288,2552814,,-45743,,,3013681,,,-378710,,3628941,,,,304720,407779,91438,,450696,,360052,382182,4461819,1607325,87796,4496,,,44807,1783630,,,,51721,51721,1835351,2626468,2626468,4461819,9758968,10515209,,10515209,310991,10204218,10723821,-519603,32238,-487365,-487365,608681,,51208
1409687,345332,WILSON HEALTHCARE & REHAB CENTER,2501 DOWNING ST,WILSON,NC,27895,WILSON,99934,R,2022-10-01,2023-09-30,4,,3505,19139,8115,30759,99,36135,,71,64,52,187,,49,299,164,,227,41,29,297,,3505,19139,8115,30759,99,36135,,71,64,52,187,,,,,,,,,,,,,,,,,,,3397357,6267799,1142255,1147072,526310,3397357,1304318,126892,,,2699653,208403,,29133,,2607393,,,,16017,,50394,,107623,,108416,108416,2823432,243576,264165,17339,,,326535,871526,,,,30231,30231,901757,1921675,1921675,2823432,10929065,12071320,,12071320,731671,11339649,9665156,1674493,3406,1677899,1677898,2055286,,174943
1410426,345134,RANDOLPH GARDENS (PH RANDOLPH),4801 RANDOLPH ROAD,CHARLOTTE,NC,28211-2921,MECKLENBURG,16740,U,2023-01-01,2023-12-31,5,,714,21783,5540,28037,100,36500,,18,100,102,220,,40,218,127,,25,76,117,218,,714,21783,5540,28037,100,36500,,18,100,102,220,,,,,,,,,,,,,,,,,,,2386435,6849919,753725,833093,281033,2386435,2201644,52258,,,2070598,,,228041,,3371718,,,,111462,200211,68947,,225127,,341299,353428,3950273,1539040,52136,3680,,,35113,1624332,,,,76998,76998,1701330,2248943,2248943,3950273,8473600,9368993,,9368993,296749,9072244,9236354,-164110,-1255,-165365,-165365,411703,,141301
1410427,345227,CYRESS VALLEY CENTER FOR NURSING AND,543 MAPLE AVENUE,REIDSVILLE,NC,27320-4627,ROCKINGHAM,24660,U,2023-01-01,2023-12-31,5,,1477,27719,5943,35139,110,40150,,34,148,152,334,,43,187,105,,40,118,172,330,,1477,27719,5943,35139,110,40150,,34,148,152,334,,,,,,,,,,,,,,,,,,,2784136,8915842,907140,1114249,400731,2784136,3111160,-6574,,,2218980,,,932130,,3024688,,,,702207,348336,71566,,849230,,468986,481772,4355690,-262769,89828,6474,,,117245,-49222,,,,78848,78848,29626,4326064,4326064,4355690,11188732,12262256,,12262256,349269,11912987,11699978,213009,40520,253529,253529,900062,,123333
1411547,345172,MERIDIAN CENTER,707 N ELM STREET,HIGH POINT,NC,27262,GUILFORD,24660,U,2023-01-01,2023-12-31,4,,1506,52240,6591,60337,199,72635,,39,220,219,478,,39,237,126,,60,125,299,484,,1506,52240,6591,60337,199,72635,,39,220,219,478,,,,,,,,,,,,,,,,,,,4925654,14419625,2658646,1835311,644905,4925654,6570350,19523,,,2919744,571236,114284,,,2461252,,252310,22130466,2716436,803829,1166104,,19386620,,,250890,22098762,1568707,,,,,677045,2245752,19068649,,,,19787245,22032997,65765,65765,22098762,22250540,24909817,,24909817,5549051,19360766,19345279,15487,50278,65765,65765,889207,,70498
