ENROLLMENT ID,ASSOCIATE ID,ORGANIZATION NAME,ASSOCIATE ID - OWNER,TYPE - OWNER,ROLE CODE - OWNER,ROLE TEXT - OWNER,ASSOCIATION DATE - OWNER,FIRST NAME - OWNER,MIDDLE NAME - OWNER,LAST NAME - OWNER,TITLE - OWNER,ORGANIZATION NAME - OWNER,DOING BUSINESS AS NAME - OWNER,ADDRESS LINE 1 - OWNER,ADDRESS LINE 2 - OWNER,CITY - OWNER,STATE - OWNER,ZIP CODE - OWNER,PERCENTAGE OWNERSHIP,CREATED FOR ACQUISITION - OWNER,CORPORATION - OWNER,LLC - OWNER,MEDICAL PROVIDER SUPPLIER - OWNER,MANAGEMENT SERVICES COMPANY - OWNER,MEDICAL STAFFING COMPANY - OWNER,HOLDING COMPANY - OWNER,INVESTMENT FIRM - OWNER,FINANCIAL INSTITUTION - OWNER,CONSULTING FIRM - OWNER,FOR PROFIT - OWNER,NON PROFIT - OWNER,PRIVATE EQUITY COMPANY - OWNER,REIT - OWNER,CHAIN HOME OFFICE - OWNER,TRUST OR TRUSTEE - OWNER,OTHER TYPE - OWNER,OTHER TYPE TEXT - OWNER,PARENT COMPANY - OWNER,OWNED BY ANOTHER ORG OR IND - OWNER
O20160420000939,4587574355,LIBERTY HEALTHCARE GROUP LLC,4587574355,O,86,INDIRECT OWNERSHIP INTEREST,2025-04-29,,,,,LIBERTY HEALTHCARE GROUP LLC,LIBERTY COMMONS NURSING AND REHABILITATION CENTER OF WATAUGA COUNTY,2334 41ST ST,,WILMINGTON,NC,284035502,100,N,N,Y,N,N,N,Y,N,N,N,N,N,,,,,N,,Y,Y
O20160420000939,4587574355,LIBERTY HEALTHCARE GROUP LLC,6305349937,O,72,ADP OF THE SNF,2025-04-29,,,,,LIBERTY HEALTHCARE PROPERTIES OF WOODLANDS LLC,,2334 41ST ST,,WILMINGTON,NC,284035502,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20160420000939,4587574355,LIBERTY HEALTHCARE GROUP LLC,6305756172,O,85,DIRECT OWNERSHIP INTEREST,2025-04-04,,,,,LIBERTY LONG TERM CARE LLC,,2334 41ST ST,,WILMINGTON,NC,284035502,100,N,N,Y,N,N,N,Y,N,N,N,N,N,,,,,N,,N,Y
O20160420000939,4587574355,LIBERTY HEALTHCARE GROUP LLC,7012410640,O,72,ADP OF THE SNF,2025-04-29,,,,,LIBERTY REAL PROPERTIES IV LLC,,2334 41ST ST,,WILMINGTON,NC,284035502,,,N,Y,N,N,N,Y,N,N,N,N,N,,,,,N,,,
O20160420000939,4587574355,LIBERTY HEALTHCARE GROUP LLC,7416047246,O,72,ADP OF THE SNF,2025-04-29,,,,,LONG TERM CARE MANAGEMENT SERVICES LLC,,2334 41ST ST,,WILMINGTON,NC,284035502,,,N,Y,N,Y,N,N,N,N,N,N,N,,,,,N,,,
O20160420000939,4587574355,LIBERTY HEALTHCARE GROUP LLC,8224398789,O,86,INDIRECT OWNERSHIP INTEREST,2025-04-29,,,,,JOHN A MCNEILL JR 2012 IRRV TR,,2334 41ST ST,,WILMINGTON,NC,284035502,24,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,,N,N
O20160802000978,4082522404,"HAPPY HARBOR METHODIST HOME, INC.",9032615232,O,72,ADP OF THE SNF,2025-08-29,,,,,,,2400 YORKMONT RD,,CHARLOTTE,NC,282174511,,,Y,N,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161015000048,8820386352,REGENCY CARE OF SILVER SPRING LLC,3476738279,O,43,OPERATIONAL/MANAGERIAL CONTROL,2016-11-01,,,,,"WW HEALTHCARE CONSULTANTS, LLC",,P O BOX 1667,,HICKORY,NC,286031667,100,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161015000048,8820386352,REGENCY CARE OF SILVER SPRING LLC,3476738279,O,72,ADP OF THE SNF,2025-07-14,,,,,"WW HEALTHCARE CONSULTANTS, LLC",,P O BOX 1667,,HICKORY,NC,286031667,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,1850201625,O,72,ADP OF THE SNF,2025-04-04,,,,,LIBERTY HEALTHCARE MANAGEMENT INC,,2334 41ST ST,,WILMINGTON,NC,284035502,,,Y,N,N,Y,N,N,N,N,N,N,N,,,Y,,N,,,
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,2860911682,O,72,ADP OF THE SNF,2025-04-04,,,,,JOHN A MCNEILL JR 2014 IRREVOCABLE TRUST,,44 MCNEILL PLZ,,WHITEVILLE,NC,284728602,,,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,,,
